0	0	0	65	2
0	1	594	129	2
1	0	4	65	2
1	1	197	129	2
2	0	40	65	2
2	1	1031	193	2
3	0	361	65	2
3	1	590	193	2
3	2	1412	65	2
4	0	357	65	2
4	1	373	193	2
5	0	16	65	2
5	1	1059	193	130
6	0	130	65	2
6	1	757	193	2
6	2	1008	1	2
6	3	1012	1	2
6	4	1016	65	2
7	0	55	65	2
7	1	690	65	2
7	2	694	193	2
7	3	1258	65	2
8	0	152	66	4
8	1	1484	66	4
9	0	136	65	2
9	1	1496	65	2
10	0	1051	65	2
10	1	1063	193	2
10	2	1067	65	2
11	0	8	65	2
12	0	1158	65	2
12	1	1162	65	2
12	2	1166	65	2
12	3	1170	65	2
12	4	1174	65	2
12	5	1178	65	2
12	6	1182	65	2
12	7	1186	65	2
12	8	1190	65	2
12	9	1194	65	2
12	10	1198	65	2
12	11	1202	65	2
12	12	1392	65	2
13	0	1127	66	2
13	1	1332	2	2
13	2	1336	66	2
13	3	1340	66	2
13	4	1344	66	2
13	5	1348	66	2
13	6	1352	66	2
13	7	1356	66	2
14	0	377	193	2
14	1	308	193	2
14	2	437	193	2
14	3	598	193	2
14	4	988	193	2
14	5	992	193	2
14	6	996	193	2
14	7	1206	193	2
15	0	1388	193	2
16	0	99	66	32
17	0	1039	129	2
18	0	1035	129	2
19	0	769	193	2
20	0	12	193	2
21	0	773	193	2
22	0	1047	193	2
23	0	141	193	2
23	2	1516	193	2
24	0	1043	193	2
25	0	1055	193	2
26	0	1087	193	2
26	1	1210	193	2
26	2	812	193	2
26	3	816	193	2
26	4	820	193	2
26	5	457	193	2
26	6	1308	193	2
26	7	1316	193	2
27	0	51	193	131
27	1	630	65	131
27	2	622	1	2
28	0	51	193	131
28	1	630	65	131
28	2	622	1	2
29	0	51	193	131
29	1	630	65	131
29	2	622	1	2
30	0	173	193	131
30	1	666	193	131
30	2	960	66	2
30	3	103	193	131
30	4	908	66	2
31	0	173	193	131
31	1	666	193	131
31	2	960	66	2
31	3	103	193	131
31	4	908	66	2
32	0	177	193	131
32	1	602	65	131
32	2	606	65	131
32	3	610	193	131
32	4	670	193	131
32	5	674	66	2
32	6	952	66	2
32	7	956	66	2
32	8	461	66	2
32	9	465	66	2
32	10	469	66	2
33	0	177	193	131
33	1	602	65	131
33	2	606	65	131
33	3	610	193	131
33	4	670	193	131
33	5	674	66	2
33	6	952	66	2
33	7	956	66	2
33	8	461	66	2
33	9	465	66	2
33	10	469	66	2
34	0	177	193	131
34	1	602	65	131
34	2	606	65	131
34	3	610	193	131
34	4	670	193	131
34	5	674	66	2
34	6	952	66	2
34	7	956	66	2
34	8	461	66	2
34	9	465	66	2
34	10	469	66	2
35	0	369	65	131
35	1	1138	66	2
36	0	369	65	131
36	1	1138	66	2
37	0	369	65	131
37	1	1138	66	2
38	0	201	66	4
39	0	156	66	4
40	0	1075	66	4
41	0	1079	66	4
42	0	765	66	32
