0	0	0	0	0	-4	0	603	32768
0	0	1	9	1	-850	-1880	-894	4005
1	0	0	0	0	-3	0	369	32768
1	0	1	7	1	-245	16	-2783	16384
2	0	0	0	0	-18	-235	323	32768
2	0	1	14	1	1368	-320	-2434	0
2	4	0	6	0	-1196	-1025	-3506	32768
2	4	1	5	1	1363	-320	-2434	0
3	0	0	0	0	110	309	781	32768
3	0	1	17	1	128	-779	-2735	0
3	0	2	15	2	1992	403	-3432	0
4	0	0	0	0	5	0	983	32768
4	0	1	2	1	-1478	200	-5	16384
5	0	0	0	0	-182	620	969	32768
6	0	0	0	0	-5	-150	754	32768
6	0	1	5	1	61	1007	-1779	0
6	0	2	11	2	-951	1003	1472	49152
6	0	3	11	3	1122	1033	1468	16384
7	0	0	2	0	-254	-63	734	32768
7	0	1	3	1	-2735	-1392	787	32950
8	0	0	0	0	-1	240	1705	32768
9	0	0	0	0	16	0	2727	32768
9	0	1	4	1	-711	60	-951	49152
9	4	0	7	0	-1219	285	886	32768
10	0	0	7	0	210	-220	974	32768
10	0	1	6	1	-2	1520	579	0
10	0	2	8	2	6	780	285	0
11	0	0	0	0	-68	-160	228	32768
12	0	0	2	0	-296	0	-2951	16384
12	0	1	2	1	-301	0	-2023	32768
12	0	2	3	2	877	-91	-1502	16384
12	0	3	3	3	892	85	-977	16384
12	0	4	4	4	-105	0	-335	32768
12	0	5	4	5	538	0	-1920	16384
12	0	6	5	6	-416	-80	39	16384
12	0	7	5	7	1102	120	30	16384
12	0	8	3	8	1487	211	-985	49152
12	0	9	3	9	2188	297	-1343	16384
13	0	0	0	0	-9	420	2339	32768
13	0	1	1	1	-2	200	-200	0
13	0	2	1	2	573	150	153	38229
13	0	3	1	3	1145	-240	-840	49152
13	0	4	1	4	574	150	-1835	60075
13	0	5	1	5	-574	150	-1835	5461
13	0	6	1	6	-1231	-240	-840	16384
13	0	7	1	7	-573	150	152	27307
14	0	0	4	0	362	800	359	40960
14	0	1	4	1	-481	800	-1	16384
14	0	2	2	2	-5	520	-347	0
14	0	3	2	3	-1	520	345	32768
14	0	4	1	4	-364	260	-4	16384
14	0	5	1	5	340	260	0	49152
14	0	6	0	6	1	0	339	32768
14	0	7	3	7	845	-220	-418	49152
15	0	0	0	0	609	208	-840	16384
16	0	0	0	0	-32	0	214	32768
17	0	0	1	0	321	-640	772	37319
18	0	0	1	0	-440	-744	-2781	49152
19	0	0	1	0	-9	0	340	32768
20	0	0	1	0	-474	-193	-3040	21845
21	0	0	1	0	1025	200	11	49152
22	0	0	1	0	658	0	0	49152
23	0	0	1	0	-1661	0	1660	24576
23	0	1	1	1	-1341	0	1331	22756
23	0	2	3	2	-613	0	593	22756
23	4	0	1	0	-1661	0	1660	24576
23	4	1	1	1	-1341	0	1331	22756
23	5	0	1	0	-1661	0	1660	24576
23	5	1	1	1	-1341	0	1331	22756
23	6	0	1	0	-1662	0	1659	24576
24	0	0	1	0	-49	1680	-246	0
25	0	0	0	0	-13	0	92	32768
26	0	0	0	0	-467	4102	-364	47150
26	0	1	0	1	-144	3544	-39	9102
26	0	2	0	2	-951	3544	-357	49152
26	0	3	0	3	-475	3303	-839	32768
26	0	4	0	4	-475	3132	94	0
26	0	5	0	5	-929	2932	-361	49152
26	0	6	0	6	-7	2812	-359	16384
26	0	7	0	7	-472	2575	106	0
27	0	0	0	0	11	0	2155	0
27	0	1	0	1	5	0	2909	32768
27	0	2	0	2	156	0	2628	49152
28	0	0	0	0	2	0	2147	0
28	0	1	0	1	11	0	2897	32768
28	0	2	0	2	154	0	2629	49152
29	0	0	0	0	-1	0	2189	0
29	0	1	0	1	8	0	2886	32768
29	0	2	0	2	157	0	2627	49152
30	0	0	0	0	-536	0	596	0
30	0	1	0	1	520	0	594	0
30	0	2	0	2	631	0	740	49152
30	0	3	0	3	-628	0	978	16384
30	0	4	0	4	618	0	891	32768
31	0	0	0	0	-531	0	647	0
31	0	1	0	1	520	0	641	0
31	0	2	0	2	631	0	740	49152
31	0	3	0	3	-626	0	982	16384
31	0	4	0	4	617	0	887	32768
32	0	0	0	0	-4	0	718	32768
32	0	1	0	1	0	0	-723	0
32	0	2	0	2	481	0	-366	32768
32	0	3	0	3	-399	0	-505	53703
32	0	4	0	4	-396	0	516	10377
32	0	5	0	5	498	0	-119	16384
32	0	6	0	6	493	0	217	49152
32	0	7	0	7	-440	0	2	49152
32	0	8	0	8	-237	0	-572	16384
32	0	9	0	9	319	0	-540	0
33	0	0	0	0	0	0	715	32768
33	0	1	0	1	4	0	-705	0
33	0	2	0	2	398	0	-366	32768
33	0	3	0	3	-398	0	-500	54613
33	0	4	0	4	-414	0	531	14199
33	0	5	0	5	489	0	-117	16384
33	0	6	0	6	491	0	221	49152
33	0	7	0	7	-437	0	1	49152
33	0	8	0	8	-240	0	-560	16566
33	0	9	0	9	320	0	-512	0
34	0	0	0	0	-4	0	768	32768
34	0	1	0	1	-2	0	-762	0
34	0	2	0	2	477	0	-367	32768
34	0	3	0	3	-548	0	-502	56252
34	0	4	0	4	-548	0	525	8738
34	0	5	0	5	488	0	-118	21845
34	0	6	0	6	492	0	223	49152
34	0	7	0	7	-552	0	-2	49152
34	0	8	0	8	-241	0	-575	16384
34	0	9	0	9	320	0	-538	0
35	0	0	0	0	793	60	-420	16384
35	0	1	0	1	1346	110	-1180	49152
36	0	0	0	0	783	60	-424	16384
36	0	1	0	1	1352	110	-1180	49152
37	0	0	0	0	792	60	-432	16384
37	0	1	0	1	1345	110	-1188	49152
38	0	0	0	0	-1	0	-134	0
39	0	0	0	0	-1	0	-156	0
40	0	0	0	0	-2	0	-162	0
41	0	0	0	0	-3	0	-155	0
42	0	0	0	0	98	0	176	32768
43	0	0	0	0	-100	0	128	32768
44	0	0	0	0	-30	0	144	32768
44	0	1	0	1	-30	0	144	32768
45	0	0	0	0	0	0	109	32768
46	0	0	0	0	0	0	-9	32768
47	0	0	0	0	0	0	-9	32768
48	0	0	0	0	31	0	147	32768
48	0	1	0	1	31	0	147	32768
48	0	2	0	2	-79	0	61	7282
49	0	0	0	0	83	0	124	35135
50	0	0	0	0	0	0	147	32768
50	0	1	0	1	0	0	147	32768
51	0	0	0	0	0	1	108	32768
52	0	0	0	0	1	0	95	32768
52	0	1	0	1	-4	0	-114	0
52	4	0	0	0	-112	22	-4	16384
52	5	0	0	0	-112	22	-4	16384
53	0	0	0	0	97	0	168	32768
54	0	0	0	0	147	0	234	49152
55	0	0	0	0	88	0	265	32768
