0	0	0200B640
1	0	02014F80
2	4	00013080
2	0	020155E0
9	4	00000250
13	0	0201E780
13	0	0201EF60
13	0	02021370
13	0	0201E3D0
13	0	0201DF80
13	0	0201EB30
23	4	00002BB0
23	5	00003F80
23	6	00005850
23	0	02002BB0
52	4	00001040
52	5	000015D0
59	4	00000130
59	5	000013E0
59	6	000025D0
61	4	00000160
61	5	00001020
61	6	00001F40
65	4	000024A0
65	5	000028E0
65	0	020028E0
66	4	00001450
66	5	00001640
66	6	00001830
67	4	000046F0
67	5	00003BB0
67	6	00006D20
67	7	00003330
67	8	000038C0
67	9	000035D0
67	10	0000BE90
67	11	000061C0
67	12	000084E0
67	13	00008BC0
67	14	00009F70
67	0	0200CE00
68	4	00000120
68	5	000012A0
68	6	00001690
71	4	00000100
71	5	00000E50
71	6	00001260
71	7	00001A60
71	8	00001F00
71	9	00002310
71	10	00002490
71	11	00002890
71	12	00002FE0
74	4	00001C04
74	5	00002524
74	6	000034B0
79	4	000001B0
81	4	00012400
81	5	00008494
81	6	0000A000
81	7	0000A920
81	8	0000BB80
81	9	0000BF40
81	10	0000C120
81	11	0000C8C0
81	12	0000DCB0
81	0	02013AA0
81	0	0200F9E0
81	0	0200FF00
81	0	02010550
81	0	02010B30
81	0	0200BB80
82	4	00004A50
82	5	00006DF0
82	6	00008090
82	7	00008670
82	8	00008EE0
82	0	0200A540
83	4	00003C80
83	5	00004E90
83	0	020070C0
85	4	00008950
85	5	00008DA0
85	6	000093A0
85	7	0000A6D0
85	8	0000B280
85	9	0000B800
85	10	0000B9B0
85	11	0000BB20
85	12	0000BCB0
85	13	0000C9D0
85	0	0200C9D0
86	4	00003F80
86	5	00005730
87	4	000055E0
87	5	00006E90
87	0	02007A30
88	4	00003850
88	0	02003D70
89	4	00002D10
89	5	00003C80
89	6	000041F0
89	0	02004A80
90	4	00002160
90	5	00002410
90	6	000028E0
90	0	020031E0
91	4	0000ACD0
92	4	00004F10
92	5	000065F0
92	0	02007990
93	4	00005060
93	5	00005450
93	6	000055C0
93	0	02006490
93	0	020055C0
95	0	02003F40
96	4	00003D40
96	5	000040B0
96	6	000063D0
96	7	00006550
96	8	000066E0
96	0	02007EA0
97	4	000045D0
97	5	000068B0
97	0	020076D0
97	0	020076D0
98	4	00006930
98	5	00007840
98	0	02008400
99	4	00002980
99	5	00002B40
99	6	00002F80
99	7	000031E0
99	8	00003450
99	9	00003730
99	10	00003980
99	11	00004460
99	0	02005B70
100	0	02004280
